asset,curr,gran,high,rfc3339
BTC,EUR,Hour,31060.0,2021-01-16T11:00:00Z
BTC,EUR,Hour,31230.62,2021-01-16T12:00:00Z
BTC,EUR,Hour,30995.16,2021-01-16T13:00:00Z
BTC,EUR,Hour,30814.0,2021-01-16T14:00:00Z
BTC,EUR,Hour,30942.09,2021-01-16T15:00:00Z
BTC,EUR,Hour,31082.51,2021-01-16T16:00:00Z
BTC,EUR,Hour,30802.97,2021-01-16T17:00:00Z
BTC,EUR,Hour,30552.61,2021-01-16T18:00:00Z
BTC,EUR,Hour,30320.6,2021-01-16T19:00:00Z
BTC,EUR,Hour,30150.67,2021-01-16T20:00:00Z
BTC,EUR,Hour,30420.91,2021-01-16T21:00:00Z
BTC,EUR,Hour,29783.31,2021-01-16T22:00:00Z
BTC,EUR,Hour,29978.25,2021-01-16T23:00:00Z
BTC,EUR,Hour,29842.65,2021-01-17T00:00:00Z
BTC,EUR,Hour,30164.28,2021-01-17T01:00:00Z
BTC,EUR,Hour,30405.0,2021-01-17T02:00:00Z
BTC,EUR,Hour,30154.61,2021-01-17T03:00:00Z
BTC,EUR,Hour,29969.47,2021-01-17T04:00:00Z
BTC,EUR,Hour,29732.42,2021-01-17T05:00:00Z
BTC,EUR,Hour,29451.57,2021-01-17T06:00:00Z
BTC,EUR,Hour,29362.53,2021-01-17T07:00:00Z
BTC,EUR,Hour,28843.27,2021-01-17T08:00:00Z
BTC,EUR,Hour,28869.23,2021-01-17T09:00:00Z
BTC,EUR,Hour,28343.26,2021-01-17T10:00:00Z
BTC,EUR,Hour,28895.87,2021-01-17T11:00:00Z
BTC,EUR,Hour,29364.46,2021-01-17T12:00:00Z
BTC,EUR,Hour,29175.25,2021-01-17T13:00:00Z
BTC,EUR,Hour,28968.88,2021-01-17T14:00:00Z
BTC,EUR,Hour,28895.36,2021-01-17T15:00:00Z
BTC,EUR,Hour,29629.02,2021-01-17T16:00:00Z
BTC,EUR,Hour,29800.0,2021-01-17T17:00:00Z
BTC,EUR,Hour,29708.26,2021-01-17T18:00:00Z
BTC,EUR,Hour,29685.69,2021-01-17T19:00:00Z
BTC,EUR,Hour,29567.9,2021-01-17T20:00:00Z
BTC,EUR,Hour,29924.18,2021-01-17T21:00:00Z
BTC,EUR,Hour,30216.39,2021-01-17T22:00:00Z
BTC,EUR,Hour,29988.57,2021-01-17T23:00:00Z
BTC,EUR,Hour,29713.1,2021-01-18T00:00:00Z
BTC,EUR,Hour,29797.35,2021-01-18T01:00:00Z
BTC,EUR,Hour,29901.45,2021-01-18T02:00:00Z
BTC,EUR,Hour,29629.74,2021-01-18T03:00:00Z
BTC,EUR,Hour,29179.04,2021-01-18T04:00:00Z
BTC,EUR,Hour,29206.96,2021-01-18T05:00:00Z
BTC,EUR,Hour,29356.66,2021-01-18T06:00:00Z
BTC,EUR,Hour,29232.63,2021-01-18T07:00:00Z
BTC,EUR,Hour,29972.1,2021-01-18T08:00:00Z
BTC,EUR,Hour,30143.13,2021-01-18T09:00:00Z
BTC,EUR,Hour,30400.0,2021-01-18T10:00:00Z
BTC,EUR,Hour,30100.0,2021-01-18T11:00:00Z
BTC,EUR,Hour,30238.25,2021-01-18T12:00:00Z
BTC,EUR,Hour,30759.0,2021-01-18T13:00:00Z
BTC,EUR,Hour,30572.72,2021-01-18T14:00:00Z
BTC,EUR,Hour,30273.91,2021-01-18T15:00:00Z
BTC,EUR,Hour,30282.05,2021-01-18T16:00:00Z
BTC,EUR,Hour,30096.32,2021-01-18T17:00:00Z
BTC,EUR,Hour,29701.12,2021-01-18T18:00:00Z
BTC,EUR,Hour,29727.84,2021-01-18T19:00:00Z
BTC,EUR,Hour,29877.38,2021-01-18T20:00:00Z
BTC,EUR,Hour,30044.38,2021-01-18T21:00:00Z
BTC,EUR,Hour,30110.1,2021-01-18T22:00:00Z
BTC,EUR,Hour,30285.53,2021-01-18T23:00:00Z
BTC,EUR,Hour,30467.16,2021-01-19T00:00:00Z
BTC,EUR,Hour,30368.47,2021-01-19T01:00:00Z
BTC,EUR,Hour,30534.2,2021-01-19T02:00:00Z
BTC,EUR,Hour,30449.65,2021-01-19T03:00:00Z
BTC,EUR,Hour,30196.92,2021-01-19T04:00:00Z
BTC,EUR,Hour,30058.57,2021-01-19T05:00:00Z
BTC,EUR,Hour,30026.08,2021-01-19T06:00:00Z
BTC,EUR,Hour,30341.99,2021-01-19T07:00:00Z
BTC,EUR,Hour,30884.03,2021-01-19T08:00:00Z
BTC,EUR,Hour,30867.38,2021-01-19T09:00:00Z
BTC,EUR,Hour,30720.31,2021-01-19T10:00:00Z
BTC,EUR,Hour,30722.94,2021-01-19T11:00:00Z
BTC,EUR,Hour,30909.99,2021-01-19T12:00:00Z
BTC,EUR,Hour,30509.87,2021-01-19T13:00:00Z
BTC,EUR,Hour,30697.62,2021-01-19T14:00:00Z
BTC,EUR,Hour,30650.0,2021-01-19T15:00:00Z
BTC,EUR,Hour,30903.06,2021-01-19T16:00:00Z
BTC,EUR,Hour,30940.38,2021-01-19T17:00:00Z
BTC,EUR,Hour,30731.56,2021-01-19T18:00:00Z
BTC,EUR,Hour,30241.62,2021-01-19T19:00:00Z
BTC,EUR,Hour,29997.21,2021-01-19T20:00:00Z
BTC,EUR,Hour,30171.69,2021-01-19T21:00:00Z
BTC,EUR,Hour,30166.41,2021-01-19T22:00:00Z
BTC,EUR,Hour,30342.0,2021-01-19T23:00:00Z
BTC,EUR,Hour,29698.56,2021-01-20T00:00:00Z
BTC,EUR,Hour,30007.08,2021-01-20T01:00:00Z
BTC,EUR,Hour,29819.55,2021-01-20T02:00:00Z
BTC,EUR,Hour,29790.7,2021-01-20T03:00:00Z
BTC,EUR,Hour,28998.38,2021-01-20T04:00:00Z
BTC,EUR,Hour,29120.09,2021-01-20T05:00:00Z
BTC,EUR,Hour,29339.95,2021-01-20T06:00:00Z
BTC,EUR,Hour,29162.1,2021-01-20T07:00:00Z
BTC,EUR,Hour,29449.16,2021-01-20T08:00:00Z
BTC,EUR,Hour,29383.6,2021-01-20T09:00:00Z
BTC,EUR,Hour,28749.23,2021-01-20T10:00:00Z
BTC,EUR,Hour,28763.36,2021-01-20T11:00:00Z
BTC,EUR,Hour,28470.18,2021-01-20T12:00:00Z
BTC,EUR,Hour,28774.36,2021-01-20T13:00:00Z
BTC,EUR,Hour,28963.33,2021-01-20T14:00:00Z
BTC,EUR,Hour,29026.03,2021-01-20T15:00:00Z
BTC,EUR,Hour,28330.15,2021-01-20T16:00:00Z
BTC,EUR,Hour,28707.24,2021-01-20T17:00:00Z
BTC,EUR,Hour,28919.01,2021-01-20T18:00:00Z
BTC,EUR,Hour,29200.0,2021-01-20T19:00:00Z
BTC,EUR,Hour,29281.54,2021-01-20T20:00:00Z
BTC,EUR,Hour,29072.84,2021-01-20T21:00:00Z
BTC,EUR,Hour,28881.9,2021-01-20T22:00:00Z
BTC,EUR,Hour,28977.13,2021-01-20T23:00:00Z
